"Year","Month","Day","MinOfOxygen","Derm5","Derm15","Derm30","Do5","Do15","Do30","Do.50","Hen.5","Hen5","Hen15","Met.5","Met5","Met15","Met30","Orth5","Orth15","Orth30","Para.5","Para5","Para15","Para30","Para.50","Pi.5","Pi5","Pi15","Pi30","Pi.50","Pyc.5","Pyc5","Pyc15","Pyc30","Pyc.50","Sol.5","Sol5","Sol15","Sol30","Urt.5","Urt5","Urt15","Urt30","Pteraster5","Pteraster15","Pter_sp5","Pter_sp15","SpinyStar5","SpinyStar15","BrittleStar0","BrittleStar5","BrittleStar15","Cucumaria5","WhiteDorid5","WhiteDorid15","Flabbelina0","Nudibranch_unid0","Nudibranch_unid5","Nudibranch_Armina5","PlumeWorm0","Subselliflorae5","Tethya0","Tethya5","TubeWorm0","Sipunculid0","Sipunculid5","Worm_unid0","Worm_unid5","Worm_unid15","Worm_unid30","Cancer0","Cancer5","Cancer15","Cancer30","Cancer_NoSize"
2002,8,29,0.45,0,0,0.01746213,0.01746213,0,0,0,0,0,0,0.366704739,0.157159174,0.227007696,0,0,0,0,0,0,0.069848522,0.01746213,0,0,0,0,0,0,0,0,0.01746213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01746213,0,0,0,0,0,0,0,0.069848522,0.052386391,0,0
2002,8,29,0.45,0,0,0,0,0,0,0,0,0.057931081,0,0.84000067,0,0,0,0,0,0,0,0,0.057931081,0.202758782,0.057931081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02896554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057931081,0.057931081,0,0
2002,8,29,0.45,0.009913285,0.004956642,0,0.069392992,0,0.004956642,0,0,0.004956642,0,2.71128332,0.376704812,0,0,0,0,0,0,0.009913285,0.004956642,0,0,0,0.009913285,0.004956642,0,0,0,0.128872699,0.054523065,0,0,0,0.009913285,0.004956642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024783211,0,0,0,0,0,0,0,0.32713839,0.014869927,0,0
2002,8,29,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159926562,0,0,0
2002,8,29,0.45,0,0,0,0,0,0,0,0,0,0,2.20346847,0.479014885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095802977,0.095802977,0,0,0
2002,8,29,0.45,0,0,0,0,0,0,0,0,0,0,0.992798531,1.051198445,0,0,0,0,0,0,0,0,0,0,0,0,0.175199741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058399914,0,0,0
2002,8,29,0.45,0.155502277,0,0,0,0,0,0,0,0,0,1.399520493,0.933013662,0.155502277,0,0,0,0,0,0,0.155502277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155502277,0,0,0
2002,8,29,0.45,0.011605113,0.008703835,0,0.072531955,0.002901278,0,0.002901278,0.008703835,0.005802556,0,1.241747068,0.362659774,0.008703835,0,0.002901278,0.002901278,0,0,0.040617895,0.049321729,0.026111504,0,0.002901278,0.020308947,0.008703835,0,0,0,0,0.005802556,0,0,0,0,0,0,0,0.002901278,0.008703835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026111504,0,0.005802556,0,0,0,0,0,0,0.005802556,0.055124286,0.005802556,0,0
2002,10,7,0,0,0.014304762,0.009536508,0.028609524,0,0,0,0,0,0,0.119206352,0.352850802,0,0,0,0,0,0,0,0.009536508,0.004768254,0,0,0.009536508,0.004768254,0,0,0,0,0,0.004768254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004768254,0,0,0
2002,10,7,0,0,0.014858577,0,0.141156483,0,0,0,0.022287866,0.014858577,0,1.203544751,1.983620053,0,0,0,0,0,0,0.014858577,0.014858577,0.007429289,0,0,0,0.014858577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007429289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007429289,0,0,0,0,0,0,0,0,0,0,0
2002,10,7,0,0,0,0,0,0,0,0,0,0,0,0.537432606,0.814817176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034673071,0,0,0
2002,10,7,0,0,0.015773129,0,0,0,0,0,0,0,0,0.394328235,0,0,0,0,0,0,0,0,0,0.015773129,0,0,0,0,0,0,0,0,0.015773129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266317684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,10,7,0,0,0,0,0.044386535,0,0,0,0,0,0,0.699087923,0.005548317,0,0,0,0,0,0,0,0,0.005548317,0,0,0,0,0,0,0,0,0.005548317,0,0,0,0.005548317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005548317,0,0
2002,10,7,0,0,0.016590288,0.016590288,0.060139794,0.006221358,0,0,0,0.002073786,0,0.750710535,0.122353374,0,0,0,0.002073786,0,0,0.026959218,0.058066008,0.02073786,0,0,0.006221358,0.004147572,0,0,0.004147572,0.002073786,0.008295144,0.006221358,0,0,0.004147572,0,0,0.002073786,0.006221358,0.004147572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006221358,0,0,0,0,0,0,0,0.008295144,0,0,0
2002,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,10,7,0,0,0.009085075,0,0.015141792,0.012113434,0,0,0,0.003028358,0,0.569331393,0.21804181,0.024226868,0,0,0,0,0,0.003028358,0.003028358,0.003028358,0,0,0,0.006056717,0,0,0,0.003028358,0.012113434,0.003028358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009085075,0.003028358,0,0
2002,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0.559727965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,10,7,0,0,0,0,0,0,0,0,0,0,0,0.326915937,0.26153275,0.021794396,0,0,0,0,0,0.021794396,0,0,0,0,0.021794396,0,0,0,0,0,0,0.021794396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021794396,0,0,0
2002,10,7,0,0,0.003277736,0.003277736,0.03441623,0.00819434,0,0,0,0.003277736,0,1.465148075,0.162247941,0.009833209,0,0.004916604,0,0,0,0.065554724,0.047527175,0.004916604,0,0,0.014749813,0.001638868,0,0,0,0.004916604,0.013110945,0.003277736,0,0,0,0.001638868,0,0,0.004916604,0.001638868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001638868,0,0,0,0,0,0,0.001638868,0.024583021,0.003277736,0,0
2002,10,7,0,0,0.010868573,0,0.047097148,0.007245715,0,0,0,0.010868573,0,0.45285719,0.083325723,0.003622858,0,0,0,0,0,0.047097148,0.090571438,0.025360003,0.003622858,0,0.003622858,0.003622858,0,0,0,0.003622858,0.007245715,0.010868573,0,0,0,0,0,0,0.007245715,0.007245715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003622858,0,0,0,0,0,0,0,0.007245715,0.007245715,0,0
2003,6,11,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,11,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,11,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6,11,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,7,0,0,0.009686984,0,0,0.009686984,0,0.009686984,0,0.009686984,0,0.009686984,0.358418418,0,0,0,0,0,0,0,0.009686984,0.009686984,0,0,0,0,0,0,0,0,0,0.009686984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029060953,0,0,0,0,0,0,0,0,0,0,0.009686984,0,0,0,0,0,0,0,0,0,0,0
2003,8,7,0,0.02969293,0.02969293,0,0.02969293,0.059385859,0,0,0,0.059385859,0,1.068945468,1.098638398,0,0,0,0,0,0,0,0.02969293,0,0,0,0.02969293,0.02969293,0,0,0,0.02969293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02969293,0,0,0,0,0,0,0,0,0.02969293,0,0,0
2003,8,7,0,0,0,0,0,0.02800408,0,0,0,0,0,0.252036723,0.112016321,0,0,0,0,0,0,0.02800408,0,0,0,0,0,0,0,0,0,0.056008161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02800408,0,0,0
2003,8,7,0,0,0.014842183,0,0,0,0,0,0,0,0,0.044526548,0.074210914,0,0,0,0,0,0,0,0,0,0,0,0,0.014842183,0,0,0,0,0.029684365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014842183,0,0,0
2003,8,7,0,0.02430606,0.02430606,0,0,0,0,0,0,0,0,0.04861212,0.04861212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02430606,0.02430606,0.02430606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0.012608472,0,0.016811296,0,0.008405648,0,0,0,0,0.130287546,0.079853657,0.004202824,0,0.004202824,0,0,0,0.008405648,0.033622593,0.012608472,0,0,0.012608472,0.008405648,0,0,0,0.008405648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012608472,0,0,0,0,0,0,0,0,0,0,0.008405648,0,0,0,0,0,0,0,0.02101412,0.037825417,0,0
2003,8,8,2.55,0,0.012029125,0,0.012029125,0.036087376,0,0,0,0,0,0.024058251,0,0.012029125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060145627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012029125,0,0,0,0,0,0,0,0,0.036087376,0,0
2003,8,8,2.55,0,0.009454031,0,0.042543141,0.004727016,0,0,0,0.018908063,0,0.43488544,0.345072142,0.004727016,0,0,0,0,0,0,0.07563225,0.009454031,0,0,0,0.004727016,0,0,0,0,0.009454031,0,0,0,0,0,0,0,0,0.004727016,0,0,0,0,0,0,0,0,0,0,0.004727016,0,0,0,0,0,0,0,0,0,0,0.03308911,0,0,0,0,0,0,0,0,0.004727016,0,0
2003,8,8,2.55,0,0,0,0,0,0,0,0,0,0,0.140147525,0.009343168,0,0,0,0.009343168,0,0,0.009343168,0.028029505,0.028029505,0,0,0,0,0,0,0,0.009343168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037372673,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0,0,0,0.054691076,0,0,0,0,0,0.127612511,0.072921435,0,0,0,0,0,0,0,0.018230359,0.018230359,0,0,0,0.036460717,0,0,0.018230359,0.036460717,0.018230359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018230359,0,0,0,0,0,0,0,0,0,0,0.018230359,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114936055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031193468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0.00968456,0.003228187,0.016140933,0.006456373,0,0,0,0.003228187,0,0.012912746,0.012912746,0,0,0,0,0,0,0,0.016140933,0.003228187,0,0,0.006456373,0.003228187,0,0,0.00968456,0.025825492,0.006456373,0,0,0,0,0,0,0,0,0.003228187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003228187,0.00968456,0,0
2003,8,8,2.55,0,0.017363569,0,0.190999262,0.026045354,0.017363569,0,0,0.008681785,0,0.078136062,0.147590339,0,0,0,0,0,0,0.008681785,0.017363569,0.017363569,0,0,0.017363569,0.008681785,0,0,0,0.017363569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017363569,0,0,0,0,0,0,0,0,0,0,0.052090708,0,0,0,0,0,0,0,0,0,0,0
2003,8,8,2.55,0,0.004069367,0,0,0,0,0,0,0,0,0.004069367,0,0,0,0,0,0,0,0,0,0.004069367,0,0,0.008138733,0.0244162,0,0,0,0,0,0.004069367,0,0,0,0.008138733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244162,0,0,0,0,0,0,0,0,0,0,0.008138733,0,0,0,0,0,0,0,0.004069367,0.008138733,0,0
2004,8,7,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,8,7,1.86,0,0,0,0,0,0,0,0,0.034148957,0,0.017074479,0.017074479,0,0,0,0,0,0,0,0.136595829,0.11952135,0,0,0,0.017074479,0,0,0,0.034148957,0,0.017074479,0,0,0,0,0,0,0,0,0.017074479,0,0,0,0,0,0,0,0,0,0.051223436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,21,2.51,0,0.008079353,0,0,0.008079353,0,0,0,0,0,0.072714179,0.20198383,0.008079353,0,0,0,0,0,0.008079353,0.080793532,0.016158706,0,0,0,0,0,0,0,0,0.008079353,0.016158706,0,0,0,0.008079353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008079353,0
2004,9,21,2.51,0,0,0,0,0,0,0,0,0,0,0,2.181445806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,21,2.51,0,0,0,0,0,0,0,0,0,0,0.202617307,0.292669443,0,0,0,0,0,0,0.022513034,0.090052136,0.022513034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045026068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,21,2.51,0,0.011388635,0,0,0,0,0,0,0,0,0.182218161,0.06833181,0.02277727,0,0,0,0,0,0.02277727,0.02277727,0,0,0,0,0.011388635,0,0,0,0.034165905,0.011388635,0.011388635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,21,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
